QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
1,Two Sum,two-sum,Easy,53.7622215429017,False,"array,hash-table",algorithms
2,Add Two Numbers,add-two-numbers,Medium,44.111139350796805,False,"linked-list,math,recursion",algorithms
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,35.4486543750856,False,"hash-table,string,sliding-window",algorithms
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,41.466869882813725,False,"array,binary-search,divide-and-conquer",algorithms
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,34.4477483278634,False,"two-pointers,string,dynamic-programming",algorithms
6,Zigzag Conversion,zigzag-conversion,Medium,49.295889072731995,False,string,algorithms
7,Reverse Integer,reverse-integer,Medium,29.160505623608934,False,math,algorithms
8,String to Integer (atoi),string-to-integer-atoi,Medium,17.920472697879855,False,string,algorithms
9,Palindrome Number,palindrome-number,Easy,57.51731863558314,False,math,algorithms
10,Regular Expression Matching,regular-expression-matching,Hard,28.389927689956686,False,"string,dynamic-programming,recursion",algorithms
11,Container With Most Water,container-with-most-water,Medium,56.173990451248955,False,"array,two-pointers,greedy",algorithms
12,Integer to Roman,integer-to-roman,Medium,66.29687765532691,False,"hash-table,math,string",algorithms
13,Roman to Integer,roman-to-integer,Easy,62.6769379613368,False,"hash-table,math,string",algorithms
14,Longest Common Prefix,longest-common-prefix,Easy,43.80519719932226,False,"string,trie",algorithms
15,3Sum,3sum,Medium,35.36114783690468,False,"array,two-pointers,sorting",algorithms
16,3Sum Closest,3sum-closest,Medium,46.084290251907866,False,"array,two-pointers,sorting",algorithms
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,61.732523426602626,False,"hash-table,string,backtracking",algorithms
18,4Sum,4sum,Medium,36.74562616360423,False,"array,two-pointers,sorting",algorithms
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,46.72993301394624,False,"linked-list,two-pointers",algorithms
20,Valid Parentheses,valid-parentheses,Easy,41.04800266333583,False,"string,stack",algorithms
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,65.27280802749425,False,"linked-list,recursion",algorithms
22,Generate Parentheses,generate-parentheses,Medium,75.50504487840138,False,"string,dynamic-programming,backtracking",algorithms
